Date,inventory_levels,Gain/loss,disaster,Pest,Theft
01/01/2021,284,-38,0,0,0
02/01/2021,246,150,0,0,0
03/01/2021,396,-23,0,0,0
04/01/2021,373,-32,0,0,0
05/01/2021,341,-29,0,0,0
06/01/2021,312,-23,0,0,0
07/01/2021,289,-27,0,0,0
08/01/2021,262,-29,0,0,0
09/01/2021,233,150,0,0,0
10/01/2021,383,-27,0,0,0
11/01/2021,356,-27,0,0,0
12/01/2021,329,-23,0,0,0
13/01/2021,306,-38,0,0,0
14/01/2021,268,-22,0,0,0
15/01/2021,246,-25,0,0,0
16/01/2021,221,150,0,0,0
17/01/2021,371,-21,0,0,0
18/01/2021,350,-34,0,0,0
19/01/2021,316,-22,0,0,0
20/01/2021,294,-30,0,0,0
21/01/2021,264,-34,0,0,0
22/01/2021,230,-26,0,0,0
23/01/2021,204,200,0,0,0
24/01/2021,404,-28,0,0,0
25/01/2021,376,-26,0,0,0
26/01/2021,350,-38,0,0,0
27/01/2021,312,-31,0,0,0
28/01/2021,281,-23,0,0,0
29/01/2021,258,-82,0,0,2
30/01/2021,176,200,0,0,0
31/01/2021,376,-31,0,0,0
01/02/2021,345,-29,0,0,0
02/02/2021,316,-13,0,0,0
03/02/2021,303,-37,0,0,0
04/02/2021,266,-32,0,0,0
05/02/2021,234,-36,0,0,0
06/02/2021,198,200,0,0,0
07/02/2021,398,-26,0,0,0
08/02/2021,372,-24,0,0,0
09/02/2021,348,-31,0,0,0
10/02/2021,317,-28,0,0,0
11/02/2021,289,-25,0,0,0
12/02/2021,264,-62,0,0,2
13/02/2021,202,200,0,0,0
14/02/2021,402,-28,0,0,0
15/02/2021,374,-39,0,0,1
16/02/2021,335,-23,0,0,0
17/02/2021,312,-20,0,0,0
18/02/2021,292,-28,0,0,0
19/02/2021,264,-22,0,0,0
20/02/2021,242,200,0,0,0
21/02/2021,442,-22,0,0,0
22/02/2021,420,-29,0,0,0
23/02/2021,391,-26,0,0,0
24/02/2021,365,-22,0,0,0
25/02/2021,343,-34,0,0,0
26/02/2021,309,-29,0,0,0
27/02/2021,280,150,0,0,0
28/02/2021,430,-31,0,0,0
01/03/2021,399,-23,0,0,0
02/03/2021,376,10,0,2,0
03/03/2021,386,-25,0,0,0
04/03/2021,361,-15,0,0,0
05/03/2021,346,-26,0,0,0
06/03/2021,320,150,0,0,0
07/03/2021,470,-28,0,0,0
08/03/2021,442,-18,0,0,0
09/03/2021,424,-19,0,0,0
10/03/2021,405,-29,0,0,0
11/03/2021,376,-10,0,0,0
12/03/2021,366,-11,0,0,0
13/03/2021,355,100,0,0,0
14/03/2021,455,-20,0,0,0
15/03/2021,435,-14,0,0,0
16/03/2021,421,-24,0,0,0
17/03/2021,397,-21,0,0,0
18/03/2021,376,-27,0,0,0
19/03/2021,349,-17,0,0,0
20/03/2021,332,100,0,0,0
21/03/2021,432,-11,0,0,0
22/03/2021,421,-34,0,0,0
23/03/2021,387,-14,0,0,0
24/03/2021,373,-10,0,0,0
25/03/2021,363,-26,0,0,0
26/03/2021,337,-29,0,0,0
27/03/2021,308,100,0,0,0
28/03/2021,408,-28,0,0,0
